,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you know local or online resources to seek help for a mental health disorder?,Do you have previous employers?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s),Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you bring up a mental health issue with a potential employer in an interview?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,What is your age?,Do you work remotely?,Back-end Developer,Front-end Developer,DevOps/SysAdmin,Dev Evangelist/Advocate,Working in America,Living in America,Believed Mental Conditions,Male,Female,Other,Mental Condition
189,0,5,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,4,1,1,0,0,0,1,1,39.0,1,1,0,0,0,1,1,1,1,0,0,1
190,0,5,1,1,1,0,0,1,3,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,3,0,0,1,1,1,1,1,28.0,2,1,0,0,0,1,1,0,1,0,0,1
192,0,3,1,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,27.0,1,1,0,0,0,0,0,0,1,0,0,1
194,0,6,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,3,1,0,0,0,0,1,1,49.0,1,0,0,1,0,1,1,0,0,1,0,1
195,0,3,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,1,1,1,1,1,35.0,0,1,0,0,0,0,0,0,1,0,0,1
196,0,4,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,4,1,0,1,1,1,1,1,35.0,1,1,0,0,0,0,0,0,1,0,0,1
199,0,6,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,42.0,1,1,0,0,0,1,1,0,1,0,0,1
201,0,3,1,1,1,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,35.0,2,1,0,1,0,0,0,0,1,0,0,0
202,0,5,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,24.0,1,1,1,0,0,0,0,1,1,0,0,1
204,0,4,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,0,1,29.0,2,1,1,0,0,1,1,1,1,0,0,1
206,0,5,1,1,1,0,1,0,3,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,1,1,1,0,1,30.0,2,1,1,0,0,0,0,0,1,0,0,1
207,0,3,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,4,0,0,0,0,0,1,1,30.0,2,1,0,1,0,1,1,0,1,0,0,1
209,0,4,1,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,37.0,2,0,0,0,1,0,0,0,1,0,0,0
212,0,1,1,1,1,0,0,0,3,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,3,1,0,1,1,1,1,1,30.0,1,1,1,0,0,0,0,0,0,1,0,1
214,0,5,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,30.0,1,1,0,0,0,0,0,0,1,0,0,0
215,0,2,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,29.0,2,1,0,0,0,1,1,0,1,0,0,0
217,0,3,1,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,25.0,1,1,0,0,0,0,0,0,1,0,0,0
218,0,5,1,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,24.0,0,1,1,0,0,0,0,0,1,0,0,0
219,0,6,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,1,25.0,1,1,0,0,0,0,0,0,1,0,0,0
221,0,3,1,1,1,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,3,0,0,1,1,1,0,0,37.0,1,1,0,0,0,0,0,0,1,0,0,1
222,0,4,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,35.0,0,1,0,0,0,1,1,0,1,0,0,0
223,0,2,1,1,1,0,1,0,3,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,26.0,1,1,1,0,0,0,0,0,0,1,0,1
224,0,4,1,1,1,1,0,0,3,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,3,0,0,1,0,0,0,0,31.0,2,1,0,1,0,0,0,0,1,0,0,0
226,0,3,1,1,1,0,0,0,3,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,2,1,1,1,1,1,1,0,33.0,1,1,0,0,0,0,0,0,1,0,0,1
228,0,3,1,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,1,1,0,0,30.0,1,1,0,0,0,1,1,1,1,0,0,1
231,0,6,0,1,1,1,1,1,4,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,3,1,0,1,1,1,0,1,27.0,0,1,0,0,0,1,1,0,1,0,0,1
235,0,3,1,1,1,1,0,1,4,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,4,0,0,1,1,1,0,0,30.0,1,0,0,0,1,1,1,0,1,0,0,1
237,0,4,1,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,31.0,0,1,1,0,0,0,0,0,1,0,0,0
239,0,4,1,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,3,0,0,0,0,0,0,0,31.0,1,1,0,0,0,0,0,0,1,0,0,0
240,0,4,1,1,1,0,1,0,2,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,1,1,1,0,1,34.0,0,0,1,0,0,0,0,1,1,0,0,1
241,0,2,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,1,28.0,1,1,1,0,0,1,1,0,1,0,0,0
243,0,5,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,0,27.0,2,1,0,0,0,0,0,0,1,0,0,0
246,0,6,1,1,1,0,1,1,4,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,3,1,0,0,0,0,1,1,45.0,1,0,0,1,0,0,0,0,1,0,0,1
247,0,2,1,1,0,0,0,0,3,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,3,1,0,1,1,1,1,1,31.0,2,0,1,0,0,1,1,0,0,1,0,1
248,0,6,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,36.0,0,1,1,0,0,1,1,0,1,0,0,0
250,0,6,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,1,1,1,1,33.0,1,0,0,0,1,0,1,0,0,1,0,1
253,0,3,1,1,1,1,1,0,2,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,30.0,1,0,1,0,0,1,1,0,1,0,0,1
255,0,1,0,1,0,1,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,1,1,1,0,0,36.0,1,0,0,1,0,0,0,0,1,0,0,1
256,0,3,1,1,1,1,1,1,3,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,3,1,1,1,1,1,1,1,28.0,0,0,1,0,0,1,1,1,1,0,0,1
257,0,3,1,1,1,0,0,0,3,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,3,0,0,0,0,0,1,1,36.0,1,0,1,0,0,1,1,0,1,0,0,1
259,0,3,1,1,1,0,0,1,4,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,4,0,0,1,1,1,0,1,29.0,1,0,1,0,0,1,1,1,1,0,0,1
260,0,3,1,1,1,1,0,1,4,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,3,0,0,1,1,1,1,1,25.0,1,1,1,1,0,1,1,0,1,0,0,1
262,0,6,0,1,1,1,1,1,2,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,4,1,0,0,0,0,0,1,37.0,1,0,0,0,0,0,0,0,1,0,0,0
263,0,6,1,1,1,1,0,1,2,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,3,1,0,1,1,1,1,1,40.0,1,0,0,0,1,1,1,0,0,1,0,1
264,0,4,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,32.0,2,0,0,1,0,1,1,1,1,0,0,1
265,0,3,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,3,1,1,0,0,0,0,0,38.0,0,1,0,0,1,0,0,0,1,0,0,0
266,0,3,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,3,1,0,1,1,1,1,1,31.0,1,0,1,0,0,1,1,0,0,1,0,1
269,0,3,1,1,1,1,0,1,3,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,28.0,1,0,1,0,0,1,1,0,0,1,0,1
270,0,2,1,1,1,1,0,0,3,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,26.0,2,1,1,0,0,0,0,0,1,0,0,1
272,0,6,1,1,1,1,1,1,3,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,3,1,0,0,0,0,1,1,42.0,1,0,0,0,1,1,1,0,1,0,0,1
273,0,3,1,1,1,0,0,1,4,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,1,0,0,0,0,36.0,0,0,1,0,0,1,1,0,1,0,0,0
275,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,1,1,24.0,0,1,0,0,0,1,1,0,1,0,0,1
276,0,4,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,44.0,0,1,1,1,0,1,1,1,1,0,0,1
277,0,6,1,1,1,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,3,0,0,0,0,0,1,1,31.0,2,0,0,0,1,1,1,0,1,0,0,1
279,0,3,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,0,0,1,1,1,0,0,27.0,1,1,1,0,0,1,1,0,0,0,1,1
280,0,6,1,1,1,0,0,1,3,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,27.0,2,1,0,1,0,1,1,0,0,0,1,1
281,0,4,1,1,1,1,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,1,1,28.0,1,1,0,1,0,1,1,0,1,0,0,1
282,0,2,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,3,0,0,1,1,1,1,1,20.0,0,1,1,0,0,1,1,1,0,1,0,1
284,0,4,0,1,0,0,0,1,2,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,38.0,1,1,0,0,0,0,0,0,1,0,0,1
287,0,5,1,1,1,0,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,1,0,0,0,0,31.0,1,1,0,0,0,1,1,0,1,0,0,0
288,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,3,1,1,1,1,1,1,1,54.0,1,1,0,0,0,1,1,0,1,0,0,1
289,0,5,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,0,33.0,1,1,0,0,0,0,0,0,1,0,0,1
290,0,2,1,1,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,29.0,0,1,0,0,0,0,0,0,1,0,0,0
291,0,3,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,1,1,26.0,1,1,0,1,0,0,0,1,0,0,1,1
292,0,3,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,0,0,26.0,0,1,0,0,0,0,0,1,1,0,0,1
294,0,4,1,1,1,0,0,0,2,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,3,0,0,1,1,1,1,1,38.0,1,1,0,0,0,1,1,1,0,1,0,1
295,0,4,1,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,1,1,30.0,1,1,0,0,0,0,0,0,1,0,0,1
298,0,4,0,1,1,0,1,1,4,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,4,1,0,1,1,1,1,1,33.0,1,1,0,0,0,0,0,0,0,1,0,1
299,0,6,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,2,1,0,0,0,0,0,0,22.0,1,0,1,0,0,0,0,0,1,0,0,0
300,0,2,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,1,1,1,0,1,28.0,0,0,1,0,0,0,0,1,0,0,1,1
302,0,6,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,3,1,0,1,1,1,1,1,24.0,1,1,1,0,0,0,0,0,0,0,1,1
303,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,2,1,1,0,0,0,1,0,56.0,1,0,0,1,0,0,0,0,1,0,0,1
305,0,4,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,39.0,2,1,0,0,0,1,0,0,1,0,0,0
306,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,21.0,0,1,1,1,0,0,0,0,1,0,0,1
307,0,5,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,31.0,1,0,0,0,1,0,0,0,0,1,0,0
310,0,2,1,1,1,0,0,1,2,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,3,0,0,1,1,1,1,1,32.0,0,1,0,0,0,0,0,0,0,1,0,1
313,0,2,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,35.0,2,1,1,0,0,1,1,0,1,0,0,1
316,0,3,0,1,1,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,36.0,1,0,0,0,0,1,1,0,1,0,0,0
317,0,3,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,3,0,0,1,1,1,1,1,50.0,1,1,0,0,0,1,1,0,1,0,0,1
319,0,4,1,1,1,1,0,0,2,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,3,0,0,1,1,1,1,1,47.0,0,1,0,0,1,1,1,0,1,0,0,1
320,0,2,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,1,32.0,0,1,1,0,0,0,0,0,0,1,0,0
328,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,1,1,1,0,0,25.0,0,1,0,0,0,0,0,0,1,0,0,1
329,0,3,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,35.0,1,1,1,1,0,1,1,0,1,0,0,0
332,0,3,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,29.0,0,0,1,0,0,0,0,1,1,0,0,1
334,0,2,1,1,1,0,1,0,3,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,4,0,0,1,1,1,1,1,29.0,2,1,1,0,0,1,0,1,1,0,0,1
335,0,6,1,1,1,0,0,0,3,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,40.0,2,0,0,0,1,1,1,1,1,0,0,1
336,0,3,1,1,1,1,1,1,4,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,1,1,25.0,1,0,1,0,0,1,1,0,0,1,0,1
338,0,3,1,1,1,1,1,1,3,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,3,1,0,1,1,1,1,0,29.0,1,0,0,1,0,1,1,0,0,1,0,1
339,0,1,1,1,1,1,0,1,4,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,1,1,35.0,1,1,1,1,0,0,0,0,1,0,0,1
341,0,3,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,3,1,0,0,0,0,1,1,43.0,1,0,0,1,0,1,1,0,1,0,0,1
342,0,2,1,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,3,1,0,0,0,0,0,0,26.0,0,1,1,1,0,0,0,0,1,0,0,0
343,0,4,1,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,31.0,0,1,0,0,0,0,0,1,1,0,0,1
345,0,6,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,45.0,2,1,0,1,0,1,1,0,0,1,0,1
346,0,6,1,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,0,0,0,0,23.0,0,1,1,1,0,0,0,1,1,0,0,1
349,0,4,1,1,1,0,0,0,4,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,3,1,0,1,1,1,1,1,28.0,1,1,1,0,0,1,1,0,1,0,0,1
350,0,5,1,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,36.0,2,0,0,1,1,1,1,1,1,0,0,1
351,0,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,22.0,0,1,0,0,0,0,0,0,1,0,0,0
352,0,1,1,1,1,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,3,1,0,1,1,0,0,1,51.0,0,1,1,0,0,1,1,0,1,0,0,0
355,0,6,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,3,0,0,1,1,1,1,1,28.0,1,0,0,1,0,1,1,0,1,0,0,1
356,0,4,1,1,1,0,0,1,2,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,40.0,2,1,1,0,1,1,1,0,1,0,0,0
357,0,3,1,1,1,1,1,1,4,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,4,0,0,1,1,1,1,1,35.0,1,1,0,0,0,1,1,0,0,1,0,1
359,0,4,1,1,1,0,0,0,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,0,1,29.0,2,1,0,0,0,1,1,1,1,0,0,1
361,0,5,1,1,1,0,0,0,3,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,4,1,0,1,1,1,1,1,31.0,2,1,0,0,0,1,1,0,0,1,0,1
363,0,4,1,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,1,1,1,0,0,26.0,1,1,1,0,1,1,1,1,1,0,0,1
364,0,4,1,1,1,1,1,1,4,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,4,0,0,0,0,0,0,0,42.0,2,0,0,1,1,1,1,0,1,0,0,0
367,0,4,1,1,1,0,1,1,2,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,4,1,0,1,1,1,1,1,39.0,1,1,0,0,0,1,1,0,0,1,0,1
368,0,2,1,1,1,0,0,0,3,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,4,0,0,0,0,0,1,1,34.0,1,1,0,1,0,1,1,0,0,0,1,1
369,0,3,1,1,1,0,0,1,3,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,3,1,0,1,1,1,1,1,28.0,2,1,0,0,0,1,1,0,0,1,0,1
375,0,3,1,1,1,0,0,0,2,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,1,1,1,0,0,28.0,2,1,1,0,0,0,0,0,1,0,0,1
377,0,3,1,1,1,1,0,1,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,3,1,1,1,1,1,1,1,28.0,1,1,0,0,0,1,1,0,0,1,0,1
379,0,6,0,1,1,0,1,1,2,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,3,1,0,1,1,1,0,1,21.0,0,0,0,0,0,0,0,1,0,1,0,1
380,0,3,1,1,0,0,0,0,3,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,4,1,0,1,1,1,1,1,38.0,0,1,0,0,0,0,0,0,1,0,0,1
381,0,6,0,1,1,1,1,1,3,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,4,0,0,1,1,1,1,1,33.0,1,0,0,1,0,1,1,0,1,0,0,1
382,0,4,1,1,1,0,1,1,4,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,3,1,1,1,1,1,0,1,28.0,1,1,0,0,0,1,1,0,0,1,0,1
383,0,3,1,1,1,1,1,1,4,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,3,1,0,1,1,1,1,1,32.0,1,0,0,0,1,1,1,0,1,0,0,1
384,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,1,1,24.0,1,0,1,0,0,0,0,0,0,1,0,1
388,0,6,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,3,1,1,1,1,1,1,1,24.0,1,1,0,0,0,1,1,0,0,1,0,1
389,0,4,1,1,1,1,0,0,4,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,3,0,0,1,1,1,1,1,30.0,1,1,0,0,0,1,1,0,1,0,0,1
391,0,6,1,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,26.0,0,0,1,0,0,1,1,0,0,1,0,0
392,0,4,1,1,1,1,0,0,3,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,32.0,2,0,0,1,0,1,1,0,1,0,0,1
393,0,4,1,1,1,0,0,1,2,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,2,1,1,1,1,1,0,0,32.0,1,1,0,0,0,1,1,1,1,0,0,1
397,0,3,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,22.0,0,1,0,0,0,0,0,0,1,0,0,0
398,0,5,1,1,1,0,1,1,3,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,3,0,0,1,1,1,0,1,30.0,1,0,0,0,1,1,1,0,1,0,0,1
400,0,4,1,1,1,0,0,0,3,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,34.0,0,1,0,1,0,1,1,0,1,0,0,0
401,0,2,1,1,1,1,0,0,4,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,3,1,0,0,0,0,1,1,32.0,1,1,0,0,0,1,1,1,1,0,0,1
404,0,3,1,1,1,0,1,0,4,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,3,0,0,1,1,1,1,1,31.0,2,1,0,0,1,1,1,0,1,0,0,1
405,0,3,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,4,0,0,1,0,0,0,0,26.0,2,0,1,0,0,0,0,0,1,0,0,0
407,0,4,1,1,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,2,0,0,1,1,1,1,1,36.0,1,1,0,0,0,1,1,0,1,0,0,1
408,0,4,1,1,1,0,0,0,2,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,2,1,0,1,1,1,1,1,38.0,2,1,0,0,0,1,1,0,1,0,0,1
409,0,3,1,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,0,0,0,1,1,24.0,1,1,1,0,0,1,1,0,1,0,0,1
410,0,4,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,2,0,0,1,1,1,0,0,26.0,1,1,0,0,0,1,1,0,1,0,0,1
411,0,6,1,1,1,0,1,0,2,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,3,1,0,1,1,1,1,1,37.0,0,0,0,1,1,1,1,1,1,0,0,1
414,0,3,1,1,1,0,1,0,4,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,4,0,0,0,0,0,0,1,32.0,0,1,0,0,0,0,0,0,1,0,0,0
415,0,2,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,3,0,0,1,1,1,1,1,30.0,0,1,1,1,0,0,0,0,1,0,0,1
416,0,3,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,1,26.0,2,0,0,0,1,0,0,0,0,1,0,1
419,0,3,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,1,1,1,0,1,29.0,2,1,0,0,0,0,0,1,1,0,0,1
420,0,3,1,1,1,1,1,1,2,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,3,1,0,1,1,1,1,1,26.0,0,1,0,1,0,0,0,0,0,0,1,1
421,0,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,23.0,0,1,0,0,0,1,1,0,0,1,0,0
423,0,6,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,40.0,1,0,0,0,0,1,1,0,1,0,0,1
